tokenizer,lang_code,median_premium,p90_premium,total_premium,tokens_per_char,bytes_per_char,script
mt5,lij_Latn,1.6923076923076923,2.0906417112299462,1.6942677044183363,0.39209253907159586,1.0576794006054213,Latn
mt5,lim_Latn,1.3666666666666667,1.6577302631578947,1.3777041223994555,0.33806560305576333,1.0331791412201268,Latn
mt5,lin_Latn,1.3611111111111112,1.7,1.3777041223994555,0.3273908732251735,1.0013361744621898,Latn
mt5,lit_Latn,1.2173913043478262,1.4798260869565216,1.215619543665473,0.31517927706036264,1.06809689324709,Latn
mt5,lmo_Latn,1.6992063492063492,2.0966284074605452,1.7024947471220147,0.4060287817513251,1.0810024914071157,Latn
mt5,ltg_Latn,1.4545454545454546,1.7723776223776222,1.4566304637329466,0.378940804212763,1.0618980529828856,Latn
mt5,ltz_Latn,1.4473684210526316,1.76,1.4616909828060727,0.33475661827497866,1.029340002439917,Latn
mt5,lua_Latn,1.35,1.7241379310344827,1.3724956349323785,0.3243262143526483,1.0007202897942629,Latn
mt5,lug_Latn,1.4,1.7575757575757576,1.403924121807582,0.3511421000429305,1.012449852703883,Latn
mt5,luo_Latn,1.3902439024390243,1.8108108108108107,1.4049894942440295,0.3451645267764966,1.0025809547351432,Latn
mt5,lus_Latn,1.5825757575757575,2.080972972972973,1.5842680003551242,0.3657493441189331,1.002165773939659,Latn
mt5,lvs_Latn,1.2926829268292683,1.5665217391304347,1.295078571217188,0.32619990011702704,1.0931818690042263,Latn
mt5,mag_Deva,1.6120071684587813,1.8973474801061008,1.609393033648013,0.4292434587000276,2.578649512609022,Deva
mt5,mai_Deva,1.7272727272727273,2.0833333333333335,1.734603888609393,0.4529290400352366,2.591448949471065,Deva
mt5,mal_Mlym,1.3478260869565217,1.6544755244755245,1.351750466100441,0.30586730594096534,2.7572253174050463,Mlym
mt5,mar_Deva,1.5208695652173914,1.8333333333333333,1.5213518392471368,0.3857953351544442,2.6694683757091826,Deva
mt5,min_Arab,1.8285714285714285,2.243754619364376,1.8432126897694652,0.49268300400259457,1.8307361293486688,Arab
mt5,min_Latn,1.25,1.512162162162162,1.252996359977509,0.2998965873836608,1.0009278803246873,Latn
mt5,mkd_Cyrl,1.2916666666666667,1.5292483660130718,1.2905507383622858,0.3164038976397948,1.8225383995878892,Cyrl
mt5,mlt_Latn,1.6756756756756757,2.0746428571428575,1.7000976591400077,0.3927048014874768,1.0513302526523023,Latn
mt5,mni_Beng,2.193548387096774,2.7916666666666665,2.2093456837619483,0.5456472325154764,2.6894190219337677,Beng
mt5,mos_Latn,1.7666666666666666,2.3717258261933907,1.77778106596431,0.4818251816679767,1.0818668891063379,Latn
mt5,mri_Latn,1.6963109354413701,2.09375,1.698055695303483,0.3914891584678575,1.0496295184422035,Latn
mt5,mya_Mymr,1.5568475452196382,1.95,1.5578704388742564,0.32262255698079906,2.8530419381132446,Mymr
mt5,nld_Latn,1.1634508348794061,1.4101398601398603,1.1640969488917168,0.26663232313646806,1.0015183455456216,Latn
mt5,nno_Latn,1.1595454545454547,1.4,1.1728862714924093,0.2969564826470059,1.0225304201882155,Latn
mt5,nob_Latn,1.113961038961039,1.3169448010269578,1.1099109230268414,0.28382990638645667,1.0218860442412914,Latn
mt5,npi_Deva,1.4624765478424013,1.7586206896551724,1.460181705187772,0.3888087752062599,2.675051023222461,Deva
mt5,nso_Latn,1.56,1.9409982174688056,1.568050664378089,0.3506452253325392,1.0251737145126067,Latn
mt5,nus_Latn,2.4047619047619047,3.108011583011583,2.421177236542275,0.5730676286204602,1.227205547578188,Latn
mt5,nya_Latn,1.3333333333333333,1.7058823529411764,1.3444704211180492,0.30862822089223724,1.0023776689333777,Latn
mt5,oci_Latn,1.4838709677419355,1.7777777777777777,1.486076174129206,0.33332669547497196,1.031324053607344,Latn
mt5,ory_Orya,3.108108108108108,3.738550724637681,3.094492616377142,0.7754878039736278,2.6806710224786596,Orya
mt5,pag_Latn,1.2258064516129032,1.5608780487804879,1.2083394986830813,0.31426834149194915,1.0003386595240293,Latn
mt5,pan_Guru,2.0983870967741938,2.5331249999999996,2.1027492527596103,0.5325388795203297,2.5795165823496347,Guru
mt5,pap_Latn,1.3448275862068966,1.6,1.3516616850640704,0.32817911391495536,1.0259890496788193,Latn
mt5,pbt_Arab,1.6,1.9651193633952253,1.601550708768607,0.44193832886914486,1.7545567387469785,Arab
mt5,pes_Arab,1.3333333333333333,1.6276162790697675,1.3363617531295315,0.36466930469191633,1.8049261083743842,Arab
mt5,plt_Latn,1.5833333333333333,2.0,1.5857476842946348,0.33282814479862854,1.029236751223633,Latn
mt5,pol_Latn,1.3,1.615136476426799,1.3036903317451392,0.31582607448829625,1.062859805713876,Latn
mt5,por_Latn,1.2795348837209302,1.5226284584980236,1.287206652658992,0.3031312504791308,1.0280857766100537,Latn
mt5,prs_Arab,1.3099343185550083,1.5786283891547048,1.3119173744488177,0.367389052334977,1.7821157750797663,Arab
mt5,quy_Latn,1.4090909090909092,1.8275862068965518,1.4235447308454914,0.341083457420407,1.0080762958235836,Latn
mt5,ron_Latn,1.3548387096774193,1.6282142857142856,1.3611612559557278,0.30950762750072336,1.0562153868929458,Latn
mt5,run_Latn,1.5,1.9375,1.5151667603799828,0.34766577258683323,1.0053441075611993,Latn
mt5,rus_Cyrl,1.25,1.5236024844720495,1.254150513450327,0.29824203355477985,1.8321557257065646,Cyrl
mt5,sag_Latn,1.6113296616837136,2.147126436781609,1.6393122429049156,0.38834284432355126,1.0333842767207415,Latn
mt5,san_Deva,1.6333333333333333,2.0,1.6335118818620342,0.429978032935018,2.70166856216991,Deva
mt5,sat_Olck,2.6909814323607426,3.3546489563567365,2.6940605486668048,0.6512221816855163,2.6419082773569116,Olck
mt5,scn_Latn,1.5,1.8961822660098522,1.524488769198899,0.3717516652113357,1.0537702693925857,Latn
mt5,shn_Mymr,3.259032258064516,4.281031976744186,3.2828859755556214,0.589173801278919,2.7749463576299633,Mymr
mt5,sin_Sinh,1.632456140350877,1.962962962962963,1.6339853807226776,0.4212236801953006,2.640036618858712,Sinh
mt5,slk_Latn,1.2765957446808511,1.5666666666666667,1.2929182326655027,0.33170602080327993,1.0913218434439298,Latn
mt5,slv_Latn,1.1923076923076923,1.434782608695652,1.1961764967003048,0.3088915211493638,1.02410301478736,Latn
mt5,smo_Latn,1.894736842105263,2.432222222222222,1.9106270900535645,0.42268108730948517,1.0478578536636463,Latn
mt5,sna_Latn,1.3358974358974358,1.6896551724137931,1.3446183895120003,0.307781932477104,1.0001287053595622,Latn
mt5,snd_Arab,1.7142857142857142,2.1,1.739516439288568,0.49152088838344987,1.7717580359233367,Arab
mt5,som_Latn,1.4868329868329868,1.8275862068965518,1.4903080701962061,0.3320475794859622,1.0018462106526356,Latn
mt5,sot_Latn,1.5609756097560976,1.9523809523809523,1.5760113639726554,0.33545400144877324,1.0018582091902617,Latn
mt5,spa_Latn,1.302677942212826,1.6,1.3090467876061673,0.2816716653612751,1.0184792506415523,Latn
mt5,srd_Latn,1.5648667601683028,1.9283068783068782,1.570181409250984,0.34595447521305106,1.028122086237587,Latn
mt5,srp_Cyrl,1.2857142857142858,1.5516537649542574,1.2970909413749223,0.3351173637128221,1.81972627876749,Cyrl
mt5,ssw_Latn,1.3928571428571428,1.758516196447231,1.4121215708324701,0.320788711184613,1.0002016820281145,Latn
mt5,sun_Latn,1.2083333333333333,1.4796190476190476,1.218135006362641,0.3007884717969703,1.0101719438497008,Latn
mt5,swe_Latn,1.1099033816425121,1.3043478260869565,1.1087863632328134,0.28346939238725005,1.0394709963456985,Latn
mt5,swh_Latn,1.2390476190476192,1.4985714285714282,1.2427865407948862,0.3040780270227217,1.0014771262653324,Latn
mt5,szl_Latn,1.5694980694980694,1.9350389321468298,1.572874434020893,0.38686737078095546,1.0593959951376808,Latn
mt5,tam_Taml,1.2580645161290323,1.548956356736243,1.2614897457902992,0.27655985415193374,2.7355660371237827,Taml
mt5,taq_Latn,1.6,2.157791537667699,1.6318250421709923,0.443120268728202,1.0693839502402802,Latn
mt5,taq_Tfng,3.582575757575758,4.605263157894737,3.577254298481844,0.9754206173088562,2.4450514424046803,Tfng
mt5,tat_Cyrl,1.3870967741935485,1.7142857142857142,1.4038649344500014,0.35591401883182655,1.8363881907191357,Cyrl
mt5,tel_Telu,1.4205263157894736,1.7108333333333332,1.4100500133171554,0.35958643070072827,2.669416248443455,Telu
mt5,tgk_Cyrl,1.617334167709637,1.9653940886699506,1.6104584060844604,0.3730625004284608,1.820231574473336,Cyrl
mt5,tgl_Latn,1.4482758620689655,1.790625,1.4561865585510936,0.2955013602214789,1.0006425770341767,Latn
mt5,tha_Thai,0.9701426024955437,1.2692307692307692,0.9885176526293984,0.264343710925753,2.8893971288836835,Thai
mt5,tir_Ethi,2.0240998838559814,2.523428571428571,2.0211594803350006,0.7529905954730378,2.5556498825812284,Ethi
mt5,tpi_Latn,1.6329931972789116,2.0798947368421055,1.6542274570151816,0.3307299986983327,1.0008046670690003,Latn
mt5,tsn_Latn,1.6521739130434783,2.097326203208556,1.6543162380515521,0.34287729628607355,1.0013003342840494,Latn
mt5,tso_Latn,1.5833333333333333,2.0,1.6017578645201385,0.3421302149178255,1.0062326169405815,Latn
mt5,tuk_Latn,1.6666666666666667,2.058655462184874,1.6802403006717765,0.4047924598251843,1.1022515007628582,Latn
mt5,tum_Latn,1.564659977703456,2.102307692307692,1.6085052232843065,0.3149729955262975,1.013345773162421,Latn
mt5,tur_Latn,1.1176470588235294,1.3426139817629177,1.1181675594093101,0.2782777769594485,1.0893738308120609,Latn
mt5,twi_Latn,1.6578397212543554,2.277272727272727,1.7041519931342666,0.4477141968589644,1.0790468045405068,Latn
mt5,tzm_Tfng,3.467204301075269,4.25,3.4809564676984994,0.996982564989278,2.569490002627542,Tfng
mt5,uig_Arab,2.5540935672514617,3.228214285714286,2.5571305969045013,0.615104251941599,1.8595855549307003,Arab
mt5,ukr_Cyrl,1.3225806451612903,1.5861227922624055,1.319552543576692,0.33151179908105455,1.8285378656079463,Cyrl
mt5,umb_Latn,1.5,1.9444444444444444,1.4822289958864787,0.37169573283859,1.0333803339517624,Latn
mt5,urd_Arab,1.5,1.8329268292682925,1.508182652185493,0.3922644704433498,1.7834128694581282,Arab
mt5,uzn_Latn,1.375,1.6748913043478262,1.377230623538812,0.31165787147411,1.0010112239157805,Latn
mt5,vec_Latn,1.375,1.6470588235294117,1.367227960107721,0.34670108663024557,1.0476151167677252,Latn
mt5,vie_Latn,1.9555335968379448,2.412479871175523,1.9519694593234884,0.4759118294310762,1.324766405714492,Latn
mt5,war_Latn,1.4333333333333333,1.743424317617866,1.446272676156373,0.2966085236031706,1.0005158831312286,Latn
mt5,wol_Latn,1.44,1.836394557823129,1.450652540617324,0.3854513143513167,1.039560284022552,Latn
mt5,xho_Latn,1.327199732351957,1.6296296296296295,1.336835251990175,0.32469362084456427,1.000869721473495,Latn
mt5,ydd_Hebr,1.6575187969924814,1.9285714285714286,1.6578970731851677,0.3950051471521442,1.8107751752146997,Hebr
mt5,yor_Latn,2.0384615384615383,2.754591836734694,2.0549258678346307,0.5474110746720484,1.3311758955600403,Latn
mt5,yue_Hant,0.9444444444444444,1.173913043478261,0.9524133645053416,0.8037310823635183,2.858548524049748,Hant
mt5,zho_Hans,0.875,1.1818181818181819,0.9059216951259211,0.707775542762017,2.7931377309195162,Hans
mt5,zho_Hant,0.9666666666666667,1.2083333333333333,0.9777159598709716,0.8113059279996071,2.854132901134522,Hant
mt5,zsm_Latn,1.1067629179331306,1.3224654377880183,1.1055606522446806,0.2554952194668235,1.0025715028245497,Latn
mt5,zul_Latn,1.3804761904761904,1.7,1.4004616613891272,0.31896551724137934,1.001617643094012,Latn
nllb,ace_Arab,1.875,2.3527821939586646,1.8865572272445417,0.5177939608918031,1.79061080805095,Arab
nllb,ace_Latn,1.2254032258064518,1.5260651629072681,1.2348813681015633,0.26655676958950625,1.0177807835098027,Latn
nllb,acm_Arab,1.3636363636363635,1.6818181818181819,1.368786919486962,0.3691144632390474,1.8170577156636685,Arab
nllb,acq_Arab,1.375,1.7079545454545453,1.3839953004144774,0.36836253398538954,1.8180120392970995,Arab
nllb,aeb_Arab,1.368421052631579,1.7194285714285713,1.3814496915897,0.377593620095984,1.815739237480152,Arab
nllb,afr_Latn,1.2,1.4346376811594201,1.214842857609086,0.26647386016278785,1.0114681690302167,Latn
nllb,ajp_Arab,1.2972972972972974,1.6085403726708074,1.3084102999249372,0.36763532659031095,1.805192066097514,Arab
nllb,aka_Latn,1.3717607973421928,1.7809027777777777,1.393035475343494,0.32177184081777266,1.0998846614852285,Latn
nllb,als_Latn,1.3333333333333333,1.6108695652173912,1.3434287392709114,0.2798748980146859,1.0777943976067446,Latn
nllb,amh_Ethi,1.3,1.6111111111111112,1.309324108221011,0.46043933342514803,2.5874535187990633,Ethi
nllb,apc_Arab,1.3333333333333333,1.631578947368421,1.3293626187134884,0.377209797657082,1.8142705005324813,Arab
nllb,arb_Arab,1.3783783783783783,1.7307692307692308,1.3926764792271793,0.36685866574965614,1.8163342503438789,Arab
nllb,arb_Latn,1.8333333333333333,2.3333333333333335,1.8559446493260663,0.3696039307951281,1.0004289558175508,Latn
nllb,ars_Arab,1.3846153846153846,1.7493589743589741,1.3992363173525668,0.36823526380431326,1.8169130214461784,Arab
nllb,ary_Arab,1.3846153846153846,1.75,1.3923827551320127,0.37567581846679465,1.8151999718225524,Arab
nllb,arz_Arab,1.348913043478261,1.6953177257525083,1.357755947912927,0.365676364595236,1.8150654829920014,Arab
