date,open_share_paid,ratio_g,ratio_w,front_open,front_closed,frontier_gap,mean_q_closed,mean_q_open,n_models_closed,n_models_open,n_scored_closed,n_scored_open,unweighted_gap,cover_open,cover_closed,y,trend,log_ratio_g,frontier_rel,unweighted_rel,frontier_rel_lag1,frontier_rel_lag2,frontier_rel_lag4
2025-08-11,0.2946795868004015,12.25970268467283,12.571274570424436,13.1,23.0,9.9,13.035,10.078571428571427,25,22,20,14,2.9564285714285727,0.6363636363636364,0.8,-0.8727635667563657,0.6153846153846154,2.506317679371662,0.5628819857220438,0.2572265181419555,0.5409030790032686,0.5409030790032686,0.5409030790032686
2025-08-18,0.3110828795806927,9.30980226395032,12.747667772647269,13.1,23.0,9.9,13.035,10.492857142857144,26,22,20,14,2.5421428571428564,0.6363636363636364,0.7692307692307693,-0.795061603606433,0.6346153846153846,2.231067851960342,0.5628819857220438,0.2169432938208919,0.5628819857220438,0.5409030790032686,0.5409030790032686
2025-08-25,0.2694269063870207,8.872981519653832,11.950690090393952,13.7,23.0,9.3,13.085714285714285,10.046666666666665,25,23,21,15,3.0390476190476203,0.6521739130434783,0.84,-0.9975321516687481,0.6538461538461539,2.183010875089151,0.5180983830950706,0.26428021809453167,0.5628819857220438,0.5628819857220438,0.5409030790032686
2025-09-01,0.2016578380496448,7.664226025314268,9.225782114414883,13.7,23.0,9.3,13.430000000000001,10.046666666666665,25,21,20,15,3.3833333333333364,0.7142857142857143,0.8,-1.3759648897880121,0.6730769230769231,2.0365635320544393,0.5180983830950706,0.2902501060049068,0.5180983830950706,0.5628819857220438,0.5409030790032686
2025-09-08,0.2109427031503027,5.543572517973397,8.135322367340612,13.7,23.0,9.3,13.430000000000001,10.046666666666665,25,23,20,15,3.3833333333333364,0.6521739130434783,0.8,-1.3192523902413165,0.6923076923076923,1.7126391517670374,0.5180983830950706,0.2902501060049068,0.5180983830950706,0.5180983830950706,0.5628819857220438
2025-09-15,0.1806425760869756,5.739621249938389,7.3900310357068,13.7,23.0,9.3,13.430000000000001,10.046666666666665,25,25,20,15,3.3833333333333364,0.6,0.8,-1.512000042497351,0.7115384615384616,1.7473932238231222,0.5180983830950706,0.2902501060049068,0.5180983830950706,0.5180983830950706,0.5628819857220438
2025-09-22,0.1980811108283862,5.77141643336656,7.756926745454642,13.7,23.0,9.3,,,31,29,23,15,,0.5172413793103449,0.7419354838709677,-1.3983308695966814,0.7307692307692307,1.752917532780023,0.5180983830950706,,0.5180983830950706,0.5180983830950706,0.5180983830950706
2025-09-29,0.2180763541253625,7.180791881179144,7.040722403192177,16.6,23.0,6.399999999999999,,,28,30,22,17,,0.5666666666666667,0.7857142857142857,-1.2769118464838034,0.75,1.9714096668364731,0.3260915205666521,,0.5180983830950706,0.5180983830950706,0.5180983830950706
2025-10-06,0.2363951169413815,5.552913898158802,7.555631730253011,18.5,23.0,4.5,14.413636363636364,10.9625,29,25,22,16,3.4511363636363637,0.64,0.7586206896551724,-1.172545857214899,0.7692307692307693,1.7143228166753302,0.21772348384487053,0.2736943704876843,0.3260915205666521,0.5180983830950706,0.5180983830950706
2025-10-13,0.198934150133159,5.665679848711686,6.203994939573027,18.5,23.0,4.5,,,30,29,24,17,,0.5862068965517241,0.8,-1.3929692871506651,0.7884615384615384,1.7344268958782227,0.21772348384487053,,0.21772348384487053,0.3260915205666521,0.5180983830950706
2025-10-20,0.2036534314806983,4.377649046362316,5.865882562119082,18.5,23.0,4.5,13.917391304347827,11.064705882352941,27,28,23,17,2.8526854219948863,0.6071428571428571,0.8518518518518519,-1.363614794832363,0.8076923076923077,1.476511832882036,0.21772348384487053,0.2293788387958991,0.21772348384487053,0.21772348384487053,0.5180983830950706
2025-10-27,0.1967867710747495,4.677993996062601,6.299950072391141,18.6,23.0,4.399999999999999,13.917391304347827,11.411764705882353,29,26,23,17,2.505626598465474,0.6538461538461539,0.7931034482758621,-1.4064994568671454,0.8269230769230769,1.542869384720078,0.21233263520999412,0.19849441603955578,0.21772348384487053,0.21772348384487053,0.3260915205666521
2025-11-03,0.2141163708820818,4.923800943764776,6.00516434292101,18.6,23.0,4.399999999999999,,,28,28,22,16,,0.5714285714285714,0.7857142857142857,-1.3002890705199857,0.8461538461538461,1.5940807817871079,0.21233263520999412,,0.21233263520999412,0.21772348384487053,0.21772348384487053
2025-11-10,0.2186200636392281,4.8798629843142285,5.399723438182244,18.6,23.0,4.399999999999999,14.565217391304348,11.935294117647059,29,28,23,17,2.6299232736572886,0.6071428571428571,0.7931034482758621,-1.2737261518021776,0.8653846153846154,1.5851171424861006,0.21233263520999412,0.19913641312036381,0.21233263520999412,0.21233263520999412,0.21772348384487053
2025-11-17,0.2102754308009302,3.655731207753995,4.770094333265301,18.6,23.0,4.399999999999999,,,27,26,22,15,,0.5769230769230769,0.8148148148148148,-1.3232659914897447,0.8846153846153846,1.296296130034079,0.21233263520999412,,0.21233263520999412,0.21233263520999412,0.21772348384487053
2025-11-24,0.2201083239717945,3.8470225916190577,5.377025914080787,18.6,29.1,10.5,15.9,11.8875,27,24,22,16,4.012500000000001,0.6666666666666666,0.8148148148148148,-1.2650352262901852,0.9038461538461539,1.3472994962819134,0.4475765934582912,0.29083168135467724,0.21233263520999412,0.21233263520999412,0.21233263520999412
2025-12-01,0.2413706287774965,4.650840872395048,7.878207813995591,21.5,29.1,7.600000000000001,,,26,27,22,14,,0.5185185185185185,0.8461538461538461,-1.1451797152617695,0.9230769230769231,1.5370480360241185,0.30268523904382977,,0.4475765934582912,0.21233263520999412,0.21233263520999412
2025-12-08,0.2703984319739699,4.612143547164716,9.161727298399311,21.5,29.1,7.600000000000001,,,27,24,23,14,,0.5833333333333334,0.8518518518518519,-0.9926020426771345,0.9423076923076923,1.5286927266329249,0.30268523904382977,,0.30268523904382977,0.4475765934582912,0.21233263520999412
2025-12-15,0.2611709046542763,5.3889376354950995,8.758745420366848,21.5,30.4,8.899999999999999,,,28,24,24,14,,0.5833333333333334,0.8571428571428571,-1.0398916293123663,0.9615384615384616,1.6843482663282827,0.3463896732785589,,0.30268523904382977,0.30268523904382977,0.21233263520999412
2025-12-22,0.2898146271740974,4.841087230642509,7.796999655408374,22.2,30.4,8.2,16.9375,13.464705882352941,25,24,24,17,3.4727941176470587,0.7083333333333334,0.96,-0.8962845224914637,0.9807692307692307,1.577139329932275,0.31435031953394227,0.22945821573761474,0.3463896732785589,0.30268523904382977,0.4475765934582912
