quarter,creator,label,total_tokens,spend_usd,spend_share,token_share,price_per_mtok,price_vs_average
2025Q3,deepseek,open,2934734858926,1153189.6500902656,0.013499719182127713,0.07746566589703029,0.3929450889176028,0.17426712887322174
2025Q3,qwen,open,1887835461148,454220.753135575,0.0053172976479149365,0.049831565075482205,0.24060399461898102,0.1067054113163128
2025Q3,moonshotai,open,540297321171,300923.78220139665,0.003522739347014287,0.014261762571018183,0.5569596042956441,0.2470058893122346
2025Q3,z-ai,open,498822684261,232195.92855814053,0.0027181824173698813,0.013166992337755446,0.4654879096008557,0.2064391280593124
2025Q3,meta-llama,open,790563488592,109223.03967744771,0.0012786104729161614,0.02086782282610383,0.13815846703466514,0.06127186738986163
2025Q3,openai,open,618680465245,64974.70099684262,0.00076062095886087,0.016330774847315398,0.10502142001705578,0.04657592588057191
2025Q3,google,open,487563257731,41681.16598349875,0.0004879371193774097,0.012869786962928387,0.08548873468741817,0.037913379668437386
2025Q3,mistralai,open,881421966751,25588.57137021368,0.0002995504926207745,0.0232661357406659,0.02903101163286801,0.012874956802439816
2025Q3,qwen,closed,7292235105,13477.476487200003,0.00015777296288315424,0.00019248684308512164,1.8481955522743672,0.8196558287019327
2025Q3,microsoft,open,26369774235,12657.4916328,0.0001481738780603487,0.0006960601958489007,0.48,0.21287509175788868
2025Q3,mistralai,closed,2571618989,3220.72483924,3.7703148731208374e-05,6.788080933799818e-05,1.2524113614872674,0.5554316322817174
2025Q3,alibaba,open,12688487122,2238.0968266974996,2.620009524058981e-05,0.0003349270552132042,0.176387996865045,0.07822627295340966
2025Q3,nousresearch,open,7781910558,2111.64851429,2.4719838538301873e-05,0.00020541238384554216,0.2713534804276531,0.12034249384345648
2025Q3,amazon,closed,1838468801,193.03922410499982,2.259797697932282e-06,4.852847590889333e-05,0.1049999999999999,0.046566426322038106
2025Q3,gryphe,open,1033369655,67.169027575,7.863086613100596e-07,2.7276967866069823e-05,0.065,0.028826835342214096
2025Q4,anthropic,closed,10561898538803,64049903.6160152,0.6212621015776645,0.17186050094017613,6.064241516873547,3.6149208118154097
2025Q4,google,closed,14154628985150,17361979.88958942,0.16840525129312492,0.23032048822217804,1.2265937812855667,0.7311779016839929
2025Q4,openai,closed,5276198036984,8642448.622860814,0.08382878804009576,0.08585293963621148,1.6380068682564164,0.976423036826779
2025Q4,x-ai,closed,17132545425964,8521424.6982884,0.08265489747233173,0.27877637987802445,0.4973822912136784,0.29649175266748384
2025Q4,deepseek,open,4486524102840,1638735.075072015,0.015895168285838097,0.07300356815221233,0.365257165125823,0.21773138886440035
2025Q4,z-ai,open,1569063733184,1116214.9150755666,0.010826901912445435,0.02553140216234516,0.7113891497641741,0.42406217424334924
2025Q4,qwen,open,2220775726321,593751.9923053174,0.005759190720519557,0.0361358923681315,0.2673624289333096,0.15937590974226576
2025Q4,minimax,open,1235930306296,498191.4265976762,0.004832286002045708,0.0201107405819909,0.4030902260910831,0.24028384147986098
2025Q4,moonshotai,open,290967837086,250287.87304043752,0.0024277065417101684,0.004734553930371952,0.860190856649428,0.5127635205793178
2025Q4,openai,open,2135202861970,180697.73328008843,0.0017527060493474041,0.03474347269280338,0.08462789953052587,0.05044705993682815
2025Q4,meta-llama,open,639603178979,101474.32897016549,0.0009842661942183635,0.010407458691107423,0.15865200847211108,0.09457315406491719
2025Q4,google,open,604132846540,52870.82849211999,0.0005128289063178803,0.00983029454972835,0.08751523575472299,0.052168213650531134
