date,open_share_paid,ratio_g,ratio_w,front_open,front_closed,frontier_gap,mean_q_closed,mean_q_open,n_models_closed,n_models_open,n_scored_closed,n_scored_open,unweighted_gap,cover_open,cover_closed,y,trend,log_ratio_g,frontier_rel,unweighted_rel,frontier_rel_lag1,frontier_rel_lag2,frontier_rel_lag4,open_event,closed_event,no_event,d4,d8
2025-05-26,0.1287058474427093,7.456544617674504,8.90235924825445,11.4,18.9,7.499999999999998,,,24,24,15,8,,0.3333333333333333,0.625,-1.9124500897991468,0.4038461538461538,2.0090921189316924,0.5055485666651468,,0.4399512841793336,0.4399512841793336,0.4399512841793336,0,1,0,0.24494011018593143,0.587510714310812
2025-06-02,0.1448000718600914,8.41765262849442,8.59202784386231,13.1,18.9,5.799999999999999,,,21,25,15,8,,0.32,0.7142857142857143,-1.775981299460755,0.4230769230769231,2.130331004171974,0.36654969185849073,,0.5055485666651468,0.4399512841793336,0.4399512841793336,1,0,0,0.3437885134185441,0.6631612563428901
2025-06-09,0.1562146913057209,8.715799652953269,9.726733533433435,13.1,18.9,5.799999999999999,,,25,24,14,9,,0.375,0.56,-1.68666680121575,0.4423076923076923,2.1651374306953417,0.36654969185849073,,0.3665496918584907,0.5055485666651468,0.4399512841793336,0,0,1,0.15600623589037288,0.9418925659004007
2025-06-16,0.148676918021043,7.603482015667488,8.848626849941702,13.1,18.9,5.799999999999999,,,26,23,18,8,,0.3478260869565217,0.6923076923076923,-1.745016090050491,0.4615384615384615,2.028606302325308,0.36654969185849073,,0.3665496918584907,0.3665496918584907,0.4399512841793336,0,0,1,0.4190626517556766,0.8722525232941253
2025-06-23,0.1587564456309097,9.65553484163257,9.07731748475902,13.1,18.9,5.799999999999999,,,29,24,18,8,,0.3333333333333333,0.6206896551724138,-1.6675099796132153,0.4807692307692308,2.267531309647361,0.36654969185849073,,0.3665496918584907,0.3665496918584907,0.5055485666651468,0,0,1,0.3425706041248806,0.8724483760067824
2025-06-30,0.1927572526797908,11.001932874641367,10.077548788718197,13.1,18.9,5.799999999999999,,,26,27,16,9,,0.3333333333333333,0.6153846153846154,-1.4321927860422108,0.5,2.398070973238632,0.36654969185849073,,0.3665496918584907,0.3665496918584907,0.3665496918584907,0,0,1,0.31937274292434603,0.4346606343734627
2025-07-07,0.1778970577531131,9.58089753078761,8.989790640440567,13.1,18.9,5.799999999999999,,,26,25,17,10,,0.4,0.6538461538461539,-1.530660565325377,0.5192307692307693,2.2597712755679793,0.36654969185849073,,0.3665496918584907,0.3665496918584907,0.3665496918584907,0,0,1,0.7858863300100278,0.15469567553736496
2025-07-14,0.2098295017379753,8.822472611117133,10.58678875867236,13.1,22.5,9.4,,,27,27,17,9,,0.3333333333333333,0.6296296296296297,-1.3259534382948144,0.5384615384615384,2.1773021721268937,0.5409030790032686,,0.3665496918584907,0.3665496918584907,0.3665496918584907,0,1,0,0.4531898715384487,0.0067010480534979155
2025-07-21,0.2099976839218252,8.771953332720814,12.074494366436458,13.1,22.5,9.4,,,25,27,16,12,,0.4444444444444444,0.64,-1.3249393754883347,0.5576923076923077,2.1715595105142236,0.5409030790032686,,0.5409030790032686,0.3665496918584907,0.3665496918584907,0,0,1,0.5298777718819018,-0.18706066700901625
2025-07-28,0.2473455192460604,8.773005236372857,12.99151161309636,13.1,22.5,9.4,,,24,27,16,12,,0.4444444444444444,0.6666666666666666,-1.1128200431178648,0.5769230769230769,2.1716794200197556,0.5409030790032686,,0.5409030790032686,0.5409030790032686,0.3665496918584907,0,0,1,0.11528789144911666,-0.28551082647881665
2025-08-04,0.3219610333779574,13.212230992981212,15.938297239212586,13.1,22.5,9.4,,,27,25,20,13,,0.52,0.7407407407407407,-0.7447742353153493,0.5961538461538461,2.5811429909498225,0.5409030790032686,,0.5409030790032686,0.5409030790032686,0.3665496918584907,0,0,1,-0.6311906544726629,-0.5321376111684541
2025-08-11,0.2946795868004015,12.25970268467283,12.571274570424436,13.1,23.0,9.9,13.035,10.078571428571427,25,22,20,14,2.9564285714285727,0.6363636363636364,0.8,-0.8727635667563657,0.6153846153846154,2.506317679371662,0.5628819857220438,0.2572265181419555,0.5409030790032686,0.5409030790032686,0.5409030790032686,0,1,0,-0.4464888234849508,-0.29978229045853333
2025-08-18,0.3110828795806927,9.30980226395032,12.747667772647269,13.1,23.0,9.9,13.035,10.492857142857144,26,22,20,14,2.5421428571428564,0.6363636363636364,0.7692307692307693,-0.795061603606433,0.6346153846153846,2.231067851960342,0.5628819857220438,0.2169432938208919,0.5628819857220438,0.5409030790032686,0.5409030790032686,0,0,1,-0.716938438890918,-0.5979076835442322
2025-08-25,0.2694269063870207,8.872981519653832,11.950690090393952,13.7,23.0,9.3,13.085714285714284,10.046666666666663,25,23,21,15,3.0390476190476203,0.6521739130434783,0.84,-0.9975321516687481,0.6538461538461539,2.183010875089151,0.5180983830950706,0.2642802180945316,0.5628819857220438,0.5628819857220438,0.5409030790032686,1,0,0,-0.4007987179279333,-0.36608264316361483
2025-09-01,0.2016578380496448,7.664226025314268,9.225782114414883,13.7,23.0,9.3,13.43,10.046666666666663,25,21,20,15,3.3833333333333364,0.7142857142857143,0.8,-1.3759648897880121,0.6730769230769231,2.0365635320544393,0.5180983830950706,0.2902501060049068,0.5180983830950706,0.5628819857220438,0.5409030790032686,0,0,1,0.09905304330420872,-0.030534567079133268
2025-09-08,0.2109427031503027,5.543572517973397,8.135322367340612,13.7,23.0,9.3,13.43,10.046666666666663,25,23,20,15,3.3833333333333364,0.6521739130434783,0.8,-1.3192523902413165,0.6923076923076923,1.7126391517670374,0.5180983830950706,0.2902501060049068,0.5180983830950706,0.5180983830950706,0.5628819857220438,0,0,1,0.14670653302641745,0.018963319721330807
2025-09-15,0.1806425760869756,5.739621249938389,7.3900310357068,13.7,23.0,9.3,13.43,10.046666666666663,25,25,20,15,3.3833333333333364,0.6,0.8,-1.512000042497351,0.7115384615384616,1.7473932238231222,0.5180983830950706,0.2902501060049068,0.5180983830950706,0.5180983830950706,0.5628819857220438,0,0,1,0.11903075534668583,0.23827389069517335
2025-09-22,0.1980811108283862,5.77141643336656,7.756926745454642,13.7,23.0,9.3,,,31,29,23,15,,0.5172413793103449,0.7419354838709677,-1.3983308695966814,0.7307692307692307,1.752917532780023,0.5180983830950706,,0.5180983830950706,0.5180983830950706,0.5180983830950706,0,0,1,0.03471607476431848,0.07506487810693674
2025-09-29,0.2180763541253625,7.180791881179144,7.040722403192177,16.6,23.0,6.399999999999999,,,28,30,22,17,,0.5666666666666667,0.7857142857142857,-1.2769118464838034,0.75,1.9714096668364731,0.3260915205666521,,0.5180983830950706,0.5180983830950706,0.5180983830950706,1,0,0,-0.129587610383342,0.011876620193618237
2025-10-06,0.2363951169413815,5.552913898158802,7.555631730253011,18.5,23.0,4.5,14.413636363636364,10.9625,29,25,22,16,3.4511363636363637,0.64,0.7586206896551724,-1.172545857214899,0.7692307692307693,1.7143228166753302,0.21772348384487053,0.2736943704876843,0.3260915205666521,0.5180983830950706,0.5180983830950706,1,0,0,-0.12774321330508664,0.027366141953129475
2025-10-13,0.198934150133159,5.665679848711686,6.203994939573027,18.5,23.0,4.5,,,30,29,24,17,,0.5862068965517241,0.8,-1.3929692871506651,0.7884615384615384,1.7344268958782227,0.21772348384487053,,0.2177234838448705,0.3260915205666521,0.5180983830950706,0,0,1,0.11924313534848752,0.40036724447353067
2025-10-20,0.2036534314806983,4.377649046362316,5.865882562119082,18.5,23.0,4.5,13.917391304347827,11.06470588235294,27,28,23,17,2.8526854219948863,0.6071428571428571,0.8518518518518519,-1.363614794832363,0.8076923076923077,1.476511832882036,0.21772348384487053,0.2293788387958991,0.2177234838448705,0.2177234838448705,0.5180983830950706,0,0,1,0.040348803342618256,0.3237231655199966
